iter	RMSE
0	0.9806068925
1	0.951936386
2	0.9256605075
3	0.9021667212
4	0.8802208761
5	0.8600755303
6	0.8405297801
7	0.8235150408
8	0.8068153681
9	0.791945488
10	0.7788544815
11	0.765939641
12	0.7547527485
13	0.7436399867
14	0.7340496482
15	0.7263202795
16	0.7185771835
17	0.7112931471
18	0.7044114735
19	0.6981962943
20	0.6931203935
21	0.6878398826
22	0.6835523879
23	0.678935457
24	0.6747339834
25	0.6712464629
26	0.6678619298
27	0.6646972657
28	0.6619858136
29	0.6594065498
30	0.6572538067
31	0.6550948209
32	0.6533284838
33	0.6516781877
34	0.6504587064
35	0.6487995917
36	0.6473593127
37	0.6460598353
38	0.6450326821
39	0.6441725739
40	0.6430503245
41	0.6422463432
42	0.6414137843
43	0.6406348491
44	0.6398990822
45	0.6392416045
46	0.6385206598
47	0.6376462725
48	0.6371752163
49	0.6365898336
50	0.6361402811
51	0.6355845592
52	0.6348859634
53	0.6344682632
54	0.6338649991
55	0.6335400344
56	0.6330291553
57	0.6325983759
58	0.63229659
59	0.6318507045
60	0.6314145595
61	0.6309987304
62	0.630680994
63	0.6305291316
64	0.6302614315
65	0.6301304696
66	0.6298488535
67	0.6293988887
68	0.6291202591
69	0.6287813749
70	0.6283976004
71	0.6280427491
72	0.6278183233
73	0.6275999166
74	0.6273141833
75	0.6268956763
76	0.6267471239
77	0.6265046832
78	0.6260938916
79	0.6256877615
80	0.6254545793
81	0.6251964366
82	0.6250385369
83	0.6246914717
84	0.6244603617
85	0.62418746
86	0.6239572887
87	0.6236714355
88	0.6234174552
89	0.6232224159
90	0.6230178712
91	0.6227738178
92	0.6222936791
93	0.6220858926
94	0.621868337
95	0.6215221935
96	0.621164026
97	0.6209674921
98	0.6208990063
99	0.6205704956
100	0.620364154
101	0.6201674681
102	0.6197717936
103	0.619582872
104	0.6194575595
105	0.6191448669
106	0.6186720664
107	0.6184478124
108	0.617939971
109	0.6177073028
110	0.6175049771
111	0.6174017681
112	0.6171853662
113	0.6169506704
114	0.6166979493
115	0.6161908554
116	0.6158944917
117	0.6156079453
118	0.6153928045
119	0.6152824103
120	0.6152204458
121	0.6150989642
122	0.614833412
123	0.6147493354
124	0.6146052545
125	0.6144051055
126	0.6142319976
127	0.6140817167
128	0.613973692
129	0.6137172816
130	0.6136982604
131	0.6134298612
132	0.6132414398
133	0.6130580482
134	0.6128618362
135	0.612710136
136	0.6125429015
137	0.6124136876
138	0.6122837725
139	0.6120819699
140	0.6119393355
141	0.6115856015
142	0.6112739506
143	0.6109592823
144	0.6108104623
145	0.6105092958
146	0.6101872304
147	0.6100662414
148	0.609667577
149	0.6095341256
150	0.6093144431
151	0.6090394952
152	0.6088439836
153	0.6086650345
154	0.6083397129
155	0.6081115418
156	0.6079452398
157	0.6077054978
158	0.6075432353
159	0.6074050614
160	0.6071678544
161	0.6069684365
162	0.6068511201
163	0.6067239127
164	0.6064530878
165	0.6062270982
166	0.6060912372
167	0.6057414057
168	0.6055286791
169	0.605200038
170	0.6049649887
171	0.6047380012
172	0.6045614237
173	0.6042998121
174	0.6041650638
175	0.6038333493
176	0.6035919416
177	0.6035040899
178	0.6032765934
179	0.6029549843
180	0.6026778526
181	0.6025164949
182	0.6022449236
183	0.6019440785
184	0.6017878365
185	0.6014522921
186	0.6011415911
187	0.6009644916
188	0.6007413696
189	0.6005627354
190	0.6003849522
191	0.6001225475
192	0.5999293953
193	0.5997026168
194	0.5994629022
195	0.59924011
196	0.599080805
197	0.5988109549
198	0.5985658549
199	0.5983818497
200	0.5982143723
201	0.5979811894
202	0.5978674772
203	0.5975166537
204	0.5972835228
205	0.5970899845
206	0.5968051418
207	0.5965441209
208	0.596398773
209	0.5961559691
210	0.5958869998
211	0.5955839394
212	0.5953570527
213	0.5952231795
214	0.5949482776
215	0.5947775441
216	0.5944977958
217	0.5942248131
218	0.5940398847
219	0.5938833367
220	0.5936235844
221	0.5933859216
222	0.5931948018
223	0.5930147426
224	0.5928794675
225	0.5926144626
226	0.5924561387
227	0.5920921425
228	0.5919312433
229	0.5915578554
230	0.5914003761
231	0.5910820553
232	0.5908978084
233	0.5906925422
234	0.5904567784
235	0.5902525348
236	0.5900479749
237	0.5897433499
238	0.5895231276
239	0.5893223659
240	0.5892111561
241	0.5889041497
242	0.588737913
243	0.5884775016
244	0.5882007908
245	0.5880229833
246	0.5877610958
247	0.5875621831
248	0.5874254175
249	0.5872336353
250	0.5870500821
251	0.5866512628
252	0.586393579
253	0.5862514491
254	0.58604412
255	0.5858874328
256	0.5857310955
257	0.5855413043
258	0.5852040242
259	0.5850605163
260	0.5848433311
261	0.5845255637
262	0.584348461
263	0.5840678185
264	0.5839535614
265	0.5836700146
266	0.5834358623
267	0.5831420582
268	0.5828767226
269	0.5826440956
270	0.5824402898
271	0.5822613748
272	0.5821221215
273	0.5819837961
274	0.5816904326
275	0.5815129962
276	0.5813021294
277	0.5810852753
278	0.5809714083
279	0.5807226357
280	0.5804655149
281	0.5802901398
282	0.5799405053
283	0.579669852
284	0.5795099621
285	0.5793421406
286	0.5791290325
287	0.5787831106
288	0.5785738948
289	0.5783084738
290	0.5780090993
291	0.5778137723
292	0.5776252135
293	0.5774646212
294	0.5772712142
295	0.5771223964
296	0.5769544521
297	0.5767511516
298	0.5765774248
299	0.5763828826
300	0.576102554
301	0.5759261027
302	0.5757230385
303	0.575573361
304	0.5754174239
305	0.5751682562
306	0.5750373874
307	0.5748612573
308	0.5745935586
309	0.5744573136
310	0.5743280416
311	0.5741290346
312	0.5739488474
313	0.5737241856
314	0.5735395326
315	0.5733355326
316	0.5731737779
317	0.5730263271
318	0.5728605014
319	0.5726988642
320	0.572466506
321	0.5722324702
322	0.5720082261
323	0.5717361854
324	0.5715832912
325	0.5713797291
326	0.5712200401
327	0.5710482961
328	0.5708315908
329	0.5706873305
330	0.5705173135
331	0.5703524757
332	0.5702335506
333	0.5699228345
334	0.56973351
335	0.5694699804
336	0.5692071601
337	0.5690276877
338	0.5688781627
339	0.56873842
340	0.5686330185
341	0.5685134006
342	0.5683546965
343	0.5682345782
344	0.568082715
345	0.5678861843
346	0.5678216962
347	0.5676482435
348	0.5675652834
349	0.5674559278
350	0.5672967838
351	0.5671394926
352	0.5670114309
353	0.5668078073
354	0.5666546757
355	0.5665834107
356	0.5663731124
357	0.5661687237
358	0.5660512123
359	0.5659102157
360	0.5657713679
361	0.5655041519
362	0.5653788759
363	0.5652062536
364	0.5649392086
365	0.5647701816
366	0.5646170306
367	0.5644485451
368	0.5643235447
369	0.5641104628
370	0.5639338386
371	0.5638489007
372	0.5637321022
373	0.5635895699
374	0.5633513582
375	0.5632663134
376	0.5630811747
377	0.5628838118
378	0.562681354
379	0.5623638833
380	0.5622000355
381	0.5620905851
382	0.5619736305
383	0.5618352509
384	0.5616976276
385	0.5615461549
386	0.561414671
387	0.561304678
388	0.5611209413
389	0.5609638351
390	0.5606647619
391	0.5604832406
392	0.5603581821
393	0.5601705322
394	0.5599140542
395	0.5597437229
396	0.5594169497
397	0.5592705689
398	0.5590379871
399	0.5589282715
400	0.5588228493
401	0.5585995333
402	0.5584585431
403	0.5582445716
404	0.5581108475
405	0.5579801417
406	0.5578488607
407	0.5577457467
408	0.5575638312
409	0.5574017292
410	0.5573057663
411	0.5571432489
412	0.5569422463
413	0.5568424673
414	0.556721999
415	0.5565921112
416	0.5564043132
417	0.5563093191
418	0.5561594575
419	0.5559890867
420	0.5558354015
421	0.5556930266
422	0.5555605684
423	0.5554661
424	0.5553586503
425	0.5552322533
426	0.5551232937
427	0.5549385439
428	0.5547736513
429	0.5546621096
430	0.5545052435
431	0.5544081421
432	0.5542816381
433	0.5540080164
434	0.5537529675
435	0.5535734271
436	0.5534588917
437	0.5532311861
438	0.5531256926
439	0.5529167685
440	0.5528184199
441	0.5526575679
442	0.552449501
443	0.5522244057
444	0.5520784176
445	0.5518638481
446	0.5516414726
447	0.5515205901
448	0.5513591965
449	0.5511424723
450	0.5510165438
451	0.5509048771
452	0.5507869051
453	0.5506454473
454	0.5505324766
455	0.550354885
456	0.5501209518
457	0.5499323753
458	0.5497706751
459	0.5495730324
460	0.5494114856
461	0.5492923401
462	0.5492059259
463	0.5490521142
464	0.5488866144
465	0.548754904
466	0.5486674786
467	0.5483898595
468	0.5482224149
469	0.5481067351
470	0.547856172
471	0.5477527878
472	0.5475445009
473	0.5472695974
474	0.5469876727
475	0.546814494
476	0.5466447977
477	0.5464719204
478	0.5463112275
479	0.5461889703
480	0.5459951204
481	0.5458753494
482	0.5456709323
483	0.5455057794
484	0.5453459371
485	0.5452153765
486	0.5451114296
487	0.5449600016
488	0.5448431591
489	0.5447446864
490	0.5444672054
491	0.5443452184
492	0.5442013673
493	0.5440337961
494	0.543951656
495	0.543753754
496	0.5436405553
497	0.5435363611
498	0.5432993737
499	0.5431556354
500	0.5429078112
501	0.5426956542
502	0.542443224
503	0.5422704303
504	0.5421120486
505	0.5418672984
506	0.5417032717
507	0.5416410932
508	0.5415807448
509	0.5414628376
510	0.5412949981
511	0.5410118405
