iter	Passed	Remaining
0	149	149475
1	153	76398
2	156	51972
3	159	39727
4	162	32422
5	166	27529
6	169	24022
7	172	21400
8	176	19391
9	179	17763
10	183	16463
11	186	15360
12	190	14492
13	195	13773
14	201	13199
15	205	12655
16	208	12079
17	212	11597
18	216	11156
19	219	10762
20	223	10435
21	229	10210
22	234	9957
23	238	9701
24	242	9451
25	246	9235
26	251	9049
27	257	8942
28	264	8863
29	269	8708
30	272	8531
31	276	8366
32	282	8263
33	288	8197
34	292	8070
35	297	7974
36	301	7846
37	304	7716
38	308	7600
39	314	7545
40	319	7471
41	324	7410
42	328	7320
43	332	7221
44	336	7131
45	341	7072
46	346	7034
47	352	6993
48	356	6924
49	360	6846
50	364	6775
51	368	6719
52	374	6695
53	380	6661
54	384	6608
55	388	6542
56	391	6473
57	395	6421
58	400	6381
59	406	6371
60	411	6340
61	415	6293
62	419	6236
63	423	6188
64	427	6151
65	432	6120
66	439	6114
67	443	6073
68	447	6037
69	451	5992
70	455	5956
71	460	5932
72	467	5931
73	471	5896
74	476	5873
75	480	5836
76	484	5804
77	491	5811
78	497	5803
79	503	5784
80	506	5749
81	510	5716
82	514	5689
83	523	5705
84	527	5683
85	532	5654
86	535	5620
87	539	5587
88	544	5574
89	553	5591
90	558	5579
91	562	5548
92	565	5519
93	570	5500
94	577	5497
95	582	5489
96	587	5471
97	591	5444
98	595	5415
99	599	5392
100	605	5387
101	612	5395
102	619	5391
103	622	5366
104	627	5346
105	632	5333
106	643	5372
107	648	5358
108	653	5342
109	657	5316
110	661	5297
111	669	5311
112	675	5303
113	680	5287
114	684	5264
115	688	5244
116	693	5234
117	700	5239
118	704	5215
119	709	5203
120	713	5184
121	717	5162
122	724	5168
123	731	5167
124	737	5162
125	741	5140
126	744	5120
127	750	5112
128	759	5127
129	764	5119
130	766	5087
131	770	5065
132	773	5044
133	779	5036
134	786	5038
135	792	5034
136	796	5017
137	799	4996
138	803	4977
139	807	4962
140	814	4962
141	821	4960
142	825	4944
143	828	4925
144	832	4908
145	836	4892
146	842	4891
147	849	4887
148	854	4882
149	858	4864
150	861	4846
151	866	4831
152	872	4830
153	882	4846
154	886	4834
155	890	4818
156	894	4803
157	899	4795
158	909	4810
159	914	4798
160	917	4781
161	921	4765
162	925	4752
163	933	4757
164	939	4752
165	942	4736
166	946	4719
167	949	4702
168	952	4685
169	956	4670
170	962	4665
171	967	4658
172	974	4656
173	978	4644
174	981	4627
175	985	4611
176	990	4603
177	994	4594
178	1001	4595
179	1005	4582
180	1008	4565
181	1012	4548
182	1029	4595
183	1032	4578
184	1035	4563
185	1039	4548
186	1044	4539
187	1049	4535
188	1056	4532
189	1060	4519
190	1063	4504
191	1066	4489
192	1071	4478
193	1075	4469
194	1082	4466
195	1087	4462
196	1092	4451
197	1095	4437
198	1099	4424
199	1103	4412
200	1108	4407
201	1115	4407
202	1119	4396
203	1123	4385
204	1126	4370
205	1130	4357
206	1133	4343
207	1137	4333
208	1142	4324
209	1146	4314
210	1152	4310
211	1158	4305
212	1162	4295
213	1165	4282
214	1169	4269
215	1174	4264
216	1180	4259
217	1188	4262
218	1194	4258
219	1198	4248
220	1202	4236
221	1206	4227
222	1213	4227
223	1219	4224
224	1222	4211
225	1227	4203
226	1230	4191
227	1234	4179
228	1237	4167
229	1244	4165
230	1249	4161
231	1256	4158
232	1260	4149
233	1263	4136
234	1267	4125
235	1272	4119
236	1276	4110
237	1281	4103
238	1289	4106
239	1293	4097
240	1297	4084
241	1300	4074
242	1304	4063
243	1307	4052
244	1313	4046
245	1319	4043
246	1325	4040
247	1328	4029
248	1332	4018
249	1335	4007
250	1343	4008
251	1350	4007
252	1355	4001
253	1359	3992
254	1362	3981
255	1366	3971
256	1374	3973
257	1382	3976
258	1386	3967
259	1390	3956
260	1394	3947
261	1399	3941
262	1406	3941
263	1411	3934
264	1415	3927
265	1421	3921
266	1426	3917
267	1433	3916
268	1437	3906
269	1440	3895
270	1447	3892
271	1452	3887
272	1461	3891
273	1465	3882
274	1468	3871
275	1476	3872
276	1482	3869
277	1491	3873
278	1495	3863
279	1499	3856
280	1505	3853
281	1512	3850
282	1515	3840
283	1519	3830
284	1522	3820
285	1528	3815
286	1533	3808
287	1540	3808
288	1546	3804
289	1549	3794
290	1554	3788
291	1558	3779
292	1564	3775
293	1573	3777
294	1578	3771
295	1583	3765
296	1587	3757
297	1593	3754
298	1601	3753
299	1607	3749
300	1612	3745
301	1619	3743
302	1626	3741
303	1632	3738
304	1639	3736
305	1645	3732
306	1654	3735
307	1661	3733
308	1669	3734
309	1677	3734
310	1685	3734
311	1694	3735
312	1700	3732
